NDC Description,NDC,Effective_Date,OTC,Pricing_Unit,Classification_for_Rate_Setting,Corresponding_Generic_Drug_Effective_Date,Explanation_Code,NADAC_Per_Unit,Corresponding_Generic_Drug_NADAC_Per_Unit
12-HR DECONGEST 120 MG CAPLET,00113005452,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12-HR DECONGEST 120 MG CAPLET,00113005452,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
12-HR DECONGEST 120 MG CAPLET,00113005452,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12-HR DECONGEST 120 MG CAPLET,00113005452,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12-HR DECONGEST 120 MG CAPLET,00113005452,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.31003,
12-HR DECONGEST 120 MG CAPLET,00113005452,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.29881,
12-HR DECONGEST 120 MG CAPLET,00113005452,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.31094,
12-HR DECONGEST 120 MG CAPLET,00113005452,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.32046,
12-HR DECONGEST 120 MG CAPLET,00113005452,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.30108,
12-HR DECONGEST 120 MG CAPLET,00113005452,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.29429,
12-HR DECONGEST 120 MG CAPLET,36800005452,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12-HR DECONGEST 120 MG CAPLET,36800005452,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
12-HR DECONGEST 120 MG CAPLET,36800005452,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12-HR DECONGEST 120 MG CAPLET,36800005452,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12-HR DECONGEST 120 MG CAPLET,36800005452,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.31003,
12-HR DECONGEST 120 MG CAPLET,36800005452,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.29881,
12-HR DECONGEST 120 MG CAPLET,36800005452,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.31094,
12-HR DECONGEST 120 MG CAPLET,36800005452,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.32046,
12-HR DECONGEST 120 MG CAPLET,36800005452,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.30108,
12-HR DECONGEST 120 MG CAPLET,36800005452,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.29429,
12-HR DECONGEST 120 MG CAPLET,36800005460,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12-HR DECONGEST 120 MG CAPLET,36800005460,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
